sid	category	name
11172130	Push	 Digital Turbine H&R Block
11165504	Domain	19Parking Domain
11169039	Pop/Lightbox	50onRed FreeShipping
11167039	Pop/Lightbox	50onred-contextual-intext-Experian Nonbranded-direct-us
11167439	Pop/Lightbox	50onRed-intext-TightropeUSA-kw-us-direct
11166486	Pop/Lightbox	50onRed-pop-over-Experian NonBranded-kw-us-direct
11165997	Pop/Lightbox	50onRed-pop-over-Hulu_Branded-kw-us-direct
11167965	Pop/Lightbox	50onred-pop-over-Mcafee FR
11167107	Pop/Lightbox	50onRed-pop-over-Mcafee-kw-us-direct
11167122	Pop/Lightbox	50onRed-pop-over-OneHour-kw-us-direct
11167417	Pop/Lightbox	50onRed-pop-over-Zappos-kw-us-direct
11171722	Internal	Ad.net Mercedes Benz Push Notification
11171815	Internal	Ad.net O&O Domain
11171635	Internal	AdDotNet
11171866	Internal	AdDotNet Test Affiliate InActive Source
11170022	Pop/Lightbox	AdMedia New Tab
11168458	Domain	AdrenalAds Domain
11171657	Internal	ADTEST
11172143	Pop/Lightbox	Advertise - KeenFootwear
11172144	Pop/Lightbox	Advertise - MorningBrew
11172145	Pop/Lightbox	Advertise - OF_Hulu
11171652	Pop/Lightbox	Advertise com
11171653	Pop/Lightbox	Advertise com
11171630	Pop/Lightbox	Advertise com
11171664	Pop/Lightbox	Advertise com
11171660	Pop/Lightbox	Advertise com
11171634	Pop/Lightbox	Advertise com
11170574	Pop/Lightbox	Advertise com
11169593	Pop/Lightbox	Advertise com Intelius
11170902	Pop/Lightbox	Advertise com Interstitial Experian NonBranded
11172139	Pop/Lightbox	Advertise com MB 55 Places
11170320	Pop/Lightbox	Advertise com MB Bates Brand
11170490	Pop/Lightbox	Advertise com MB Chewy Brand
11170489	Pop/Lightbox	Advertise com MB Chewy Competitor
11170488	Pop/Lightbox	Advertise com MB Chewy NonBrand
11171394	Pop/Lightbox	Advertise com MB Edmunds Car Incentives RON
11171395	Pop/Lightbox	Advertise com MB Edmunds Electric Cars
11171717	Pop/Lightbox	Advertise com MB Edmunds LR Discovery
11171718	Pop/Lightbox	Advertise com MB Edmunds LR Discovery Sport
11171719	Pop/Lightbox	Advertise com MB Edmunds LR Range Rover
11171720	Pop/Lightbox	Advertise com MB Edmunds LR Range Rover Sport
11171689	Pop/Lightbox	Advertise com MB Edmunds Minivan
11170728	Pop/Lightbox	Advertise com MB Edmunds Sedan
11170680	Pop/Lightbox	Advertise com MB Edmunds SUV
11172037	Pop/Lightbox	Advertise com MB Essilor
11170935	Pop/Lightbox	Advertise com MB Forever 21
11171299	Pop/Lightbox	Advertise com MB Lucid Chart
11169674	Pop/Lightbox	Advertise com MB Macys
11169922	Pop/Lightbox	advertise com MB Merrell Brand
11170635	Pop/Lightbox	Advertise com MB Monevo
11172124	Pop/Lightbox	Advertise com MB National Geographic
11170684	Pop/Lightbox	Advertise com MB Nature Made Amazon
11169918	Pop/Lightbox	advertise com MB NSO Brand
11169909	Pop/Lightbox	advertise com MB Pandora Brand
11170934	Pop/Lightbox	Advertise com MB Parachute Home
11170852	Pop/Lightbox	Advertise com MB Sage
11172154	Pop/Lightbox	Advertise com MB SAN
11170292	Pop/Lightbox	Advertise com MB SAP Analytics
11170326	Pop/Lightbox	Advertise com MB SAP Brand
11170327	Pop/Lightbox	Advertise com MB SAP Cloud ERP
11169931	Pop/Lightbox	advertise com MB Saucony Brand
11171277	Pop/Lightbox	Advertise com MB Sears
11169926	Pop/Lightbox	advertise com MB Sperry Brand
11171885	Pop/Lightbox	Advertise com MB Tea Collection
11171865	Pop/Lightbox	Advertise com MB Zenni Non Brand
11170879	Pop/Lightbox	Advertise com MB Zip Recruiter
11170836	Pop/Lightbox	Advertise com RON Edmunds Car Reviews
11170729	Pop/Lightbox	Advertise com RON Edmunds Sedan
11170682	Pop/Lightbox	Advertise com RON Edmunds SUV
11170835	Pop/Lightbox	Advertise com RON Edmunds Trucks
11169591	Pop/Lightbox	Advertise com Webstaurant Store
11172000	Pop/Lightbox	Advertise com Zenni
11170494	Pop/Lightbox	Advertise KPIF - GA
11171147	Pop/Lightbox	Advertise MB - Blu Dot
11171140	Pop/Lightbox	Advertise MB - Round Sky
11172035	Pop/Lightbox	Advertise MB AbeBooks
11170238	Pop/Lightbox	Advertise MB ApartmentList
11170239	Pop/Lightbox	Advertise MB ApartmentList TextLink
11171937	Pop/Lightbox	Advertise MB Best Western - Brand
11171938	Pop/Lightbox	Advertise MB Best Western - Location
11170725	Pop/Lightbox	Advertise MB Burpee
11170672	Pop/Lightbox	Advertise MB Buttercloth NonBrand
11169981	Pop/Lightbox	Advertise MB Carbon38 Brand
11170110	Pop/Lightbox	Advertise MB Carbon38 Brand TextLink
11171934	Pop/Lightbox	Advertise MB Choice Hotels - Brand
11171936	Pop/Lightbox	Advertise MB Choice Hotels - Competitor
11171935	Pop/Lightbox	Advertise MB Choice Hotels - Nonbrand
11170280	Pop/Lightbox	Advertise MB Dollar Shave Club US Brand
11170124	Pop/Lightbox	Advertise MB Dollar Shave Club US Brand TextLink
11170125	Pop/Lightbox	Advertise MB Dollar Shave Club US Conquest TextLink
11170281	Pop/Lightbox	Advertise MB Dollar Shave Club US NonBrand
11170126	Pop/Lightbox	Advertise MB Dollar Shave Club US NonBrand TextLink
11170584	Pop/Lightbox	Advertise MB Dollar Shave Club US Womens
11171137	Pop/Lightbox	Advertise MB Ebates - Brand
11171138	Pop/Lightbox	Advertise MB Ebates - High Desktop
11171162	Pop/Lightbox	Advertise MB Ebates - Medium Desktop
11169624	Pop/Lightbox	Advertise MB Experian Branded
11170112	Pop/Lightbox	Advertise MB GruntStyle Brand TextLink
11170151	Pop/Lightbox	Advertise MB Kaiser NorCal  Brand  Desktop
11170152	Pop/Lightbox	Advertise MB Kaiser NorCal  NonBrand  Desktop
11170153	Pop/Lightbox	Advertise MB Kaiser SoCal  Brand  Desktop
11170154	Pop/Lightbox	Advertise MB Kaiser SoCal  NonBrand  Desktop
11170493	Pop/Lightbox	Advertise MB KPIF - CO
11170496	Pop/Lightbox	Advertise MB KPIF - Norcal
11170497	Pop/Lightbox	Advertise MB KPIF - Socal
11170086	Pop/Lightbox	Advertise MB MedHelp Medicare Generic
11169667	Pop/Lightbox	Advertise MB Overstock Homepage
11170628	Pop/Lightbox	Advertise MB Realtor Brand
11170629	Pop/Lightbox	Advertise MB Realtor Geo
11170796	Pop/Lightbox	Advertise MB Realtor Interstitial Brand
11170797	Pop/Lightbox	Advertise MB Realtor Interstitial Geo
11172179	Pop/Lightbox	Advertise MB Transunion Nonbrand Competitor Desktop
11170302	Pop/Lightbox	Advertise MB UnderArmour Brand
11170305	Pop/Lightbox	Advertise MB UnderArmour Brand Textlink
11170303	Pop/Lightbox	Advertise MB UnderArmour NonBrand
11170306	Pop/Lightbox	Advertise MB UnderArmour NonBrand Intext
11170590	Pop/Lightbox	Advertise MB Vivint Brand
11170591	Pop/Lightbox	Advertise MB Vivint Nonbrand
11172113	Pop/Lightbox	Advertise Nutranext SAN MB
11169648	Pop/Lightbox	Advertise TransUnion Brand
11171729	Pop/Lightbox	Advertise.com Extension Installs
11170843	Pop/Lightbox	Advertise.com Interstitials - 1800Contacts BRAND
11170794	Pop/Lightbox	Advertise.com Interstitials - eHarmony US Non Branded
11170948	Pop/Lightbox	Advertise.com MB - ApartmentList - T5
11172146	Pop/Lightbox	Advertise.com MB - Mercedes
11172206	Pop/Lightbox	Advertise.com MB - NADAGuides
11172014	Pop/Lightbox	Advertise.com MB - The Fruit Company
11172169	Pop/Lightbox	Advertise.com MB Convert PDF Pro
11172170	Pop/Lightbox	Advertise.com MB ConvertFileNow New Tab
11172171	Pop/Lightbox	Advertise.com MB TheSecuredWeb
11171999	Pop/Lightbox	Advertise.com Noom
11170901	Pop/Lightbox	Advertise.com Overstock Interstitial
11165576	Pop/Lightbox	advertise.com-pop over-1800contacts-kw-us-direct
11165881	Pop/Lightbox	Advertise.com-pop-over-centurylink-kw-direct-us
11165966	Pop/Lightbox	Advertise.com-pop-over-CL_Frontier-kw-direct-us
11167244	Pop/Lightbox	Advertise.com-pop-over-eHarmony Branded-kw-direct-us
11167243	Pop/Lightbox	Advertise.com-pop-over-eHarmony Nonbranded-kw-direct-us
11165605	Pop/Lightbox	Advertise.com-pop-over-NYT corvette collection-kw-direct-us
11165905	Pop/Lightbox	Advertise.com-pop-over-transunion-kw-direct-us
11169287	Pop/Lightbox	Advertisecom MB ATT UVerse NonBranded
11170859	Pop/Lightbox	Advertisecom MB BlackBook Lightbox
11170295	Pop/Lightbox	Advertisecom MB BlackBook NT
11170858	Pop/Lightbox	Advertisecom MB CarPriceSecrets Lightbox
11172053	Push	Advertisecom MB CarPriceSecrets Push
11171316	Pop/Lightbox	Advertisecom MB CenturyLink Brand
11169861	Pop/Lightbox	Advertisecom MB Chacos Brand
11170840	Pop/Lightbox	Advertisecom MB Crowdsteer InsureMyCar Lightbox
11170380	Push	Advertisecom MB eHarmony Push
11170806	Pop/Lightbox	Advertisecom MB FreeShipping Lightbox
11171317	Pop/Lightbox	Advertisecom MB Frontier NonBrand
11170872	Pop/Lightbox	Advertisecom MB GenealogyBank - InterYield Direct
11170871	Pop/Lightbox	Advertisecom MB GenealogyBank - Intext
11169658	Pop/Lightbox	Advertisecom MB GenealogyBank - NewTab
11170032	Pop/Lightbox	Advertisecom MB GruntStyle Brand
11170938	Pop/Lightbox	Advertisecom MB Hewlett Packard Gaming
11170905	Pop/Lightbox	Advertisecom MB Hotwire Lightbox
11165975	Pop/Lightbox	Advertisecom MB Hotwire Pop
11171320	Pop/Lightbox	Advertisecom MB HPE Brand
11170608	Pop/Lightbox	Advertisecom MB HR Block Generic/Competitor
11169663	Pop/Lightbox	Advertisecom MB HyperConverged
11170091	Pop/Lightbox	Advertisecom MB Intext CarPriceSecrets
11170093	Pop/Lightbox	Advertisecom MB Intext CS InsureMyCar
11170092	Pop/Lightbox	Advertisecom MB Intext FreeShipping
11171724	Pop/Lightbox	Advertisecom MB Intext Macys
11170223	Pop/Lightbox	Advertisecom MB Intext SVG Medicare
11171133	Pop/Lightbox	Advertisecom MB LegalZoom BillOfSale
11171132	Pop/Lightbox	Advertisecom MB LegalZoom INC
11169786	Pop/Lightbox	Advertisecom MB Lending Tree Reverse
11170842	Pop/Lightbox	Advertisecom MB LendingTree PL Consolidation
11170844	Pop/Lightbox	Advertisecom MB Macys Lightbox
11171725	Pop/Lightbox	Advertisecom MB Macys Swimsuit NT
11170631	Pop/Lightbox	Advertisecom MB Pop 3PAR
11169768	Pop/Lightbox	Advertisecom MB Pop CarPriceSecrets
11170401	Pop/Lightbox	Advertisecom MB Pop Country Inns
11169778	Pop/Lightbox	Advertisecom MB Pop Crowdsteer InsureMyCar
11170888	Pop/Lightbox	Advertisecom MB Pop E-File.com
11169259	Pop/Lightbox	Advertisecom MB Pop FreeShipping
11170939	Pop/Lightbox	Advertisecom MB Pop Hewlett Packard SMB
11169771	Pop/Lightbox	Advertisecom MB Pop LegalZoom
11169845	Pop/Lightbox	Advertisecom MB Pop Lending Tree Home Equity
11169849	Pop/Lightbox	Advertisecom MB Pop Lending Tree Purchase
11169758	Pop/Lightbox	Advertisecom MB Pop LendingTree Refi
11170158	Pop/Lightbox	Advertisecom MB Pop NewCarscom
11170492	Pop/Lightbox	Advertisecom MB Pop Nissan Brand
11170188	Pop/Lightbox	Advertisecom MB Pop SVG Medicare
11169710	Pop/Lightbox	Advertisecom MB Pop The Zebra
11170524	Pop/Lightbox	Advertisecom MB Pop Volvo Conquest
11170841	Pop/Lightbox	Advertisecom MB SVG Medicare Lightbox
11171318	Pop/Lightbox	Advertisecom MB Trivago
11170849	Lead Gen	AgreeMedia Fortis Cincinnati Nursing
